id,name,sku,price,tax,status,track_inventory,on_hand_count,category,description,image_url,weight,dimensions,tags
original-1,Angels set of 3 9in x12in - Original,original-1,50,1,1,1,1,Artwork,Angels set of 3 9in x12in - Original,https://artwithheartandgifts.com/images/1. Angels set of 3 9in x12in 50.00.jpg,1,9in x 12in,art
print-1,Angels set of 3 9in x12in - Print,print-1,20,1,1,1,999,Artwork,Angels set of 3 9in x12in - Print,https://artwithheartandgifts.com/images/1. Angels set of 3 9in x12in 50.00.jpg,0.3,8x10,art
original-2,Barn 9in x 12in - Original,original-2,25,1,1,1,1,Artwork,Barn 9in x 12in - Original,https://artwithheartandgifts.com/images/2. Barn 9in x 12in 25.00.jpg,1,9in x 12in,art
print-2,Barn 9in x 12in - Print,print-2,10,1,1,1,999,Artwork,Barn 9in x 12in - Print,https://artwithheartandgifts.com/images/2. Barn 9in x 12in 25.00.jpg,0.3,8x10,art
original-3,Mermaid Dreams 9in x 12in - Original,original-3,25,1,1,1,1,Artwork,Mermaid Dreams 9in x 12in - Original,https://artwithheartandgifts.com/images/3. Mermaid Dreams 9in x 12in 25.00.jpg,1,9in x 12in,art
print-3,Mermaid Dreams 9in x 12in - Print,print-3,10,1,1,1,999,Artwork,Mermaid Dreams 9in x 12in - Print,https://artwithheartandgifts.com/images/3. Mermaid Dreams 9in x 12in 25.00.jpg,0.3,8x10,art
original-4,Mermaid Dreams 9in x 12in - Original,original-4,25,1,1,1,1,Artwork,Mermaid Dreams 9in x 12in - Original,https://artwithheartandgifts.com/images/4. Mermaid Dreams 9in x 12in 25.00.jpg,1,9in x 12in,art
print-4,Mermaid Dreams 9in x 12in - Print,print-4,10,1,1,1,999,Artwork,Mermaid Dreams 9in x 12in - Print,https://artwithheartandgifts.com/images/4. Mermaid Dreams 9in x 12in 25.00.jpg,0.3,8x10,art
original-5,Lighthouse Big Red 11in x 14in - Original,original-5,30,1,1,1,1,Artwork,Lighthouse Big Red 11in x 14in - Original,https://artwithheartandgifts.com/images/5. Lighthouse Big Red 11in x 14in 30.00.jpg,1,11in x 14in,art
print-5,Lighthouse Big Red 11in x 14in - Print,print-5,12,1,1,1,999,Artwork,Lighthouse Big Red 11in x 14in - Print,https://artwithheartandgifts.com/images/5. Lighthouse Big Red 11in x 14in 30.00.jpg,0.3,8x10,art
